Timestamp,Gender,Age (Years),Races,Faculty,Year Of Study,Relationship Status,With whom you are living with?,What is your monthly Family Income?,  Do you have meritorious scholarship ?  ,  Average attendance on class (Percentage )  ,Have you ever had to repeat any courses/subjects?,Did you ever got suspension?  ,Do you attend in teacher consultancy for any kind of academical problems?  ,What was your previous GPA?  ,What was your previous CGPA?  ,How many hour do you study daily? (Hours ),How many times do you seat for study in a day?  ,What is your preferable learning mode?  ,Do you use University transportation?  ,Do you use smart phone?  ,Do you have personal Computer?  ,How many hour do you spent daily in social media? (Hours)  ,Status of your English language proficiency  ,What are the skills do you have ?  ( example : Programming),How many hour do you spent daily on your skill development? (Hours )  ,What is you interested area?  ( example: Artificial Intelligence ),Are you engaged with any co-curriculum activities?  ,Do you have any health issues?  ,Do you have any physical disabilities?  
11/11/2025 15:37:22,Female,23 – 25 years,Malay,FSDK (Faculty of Data Science and Computing),Year 4,Single,Family,"RM 1,501 - RM3,000",No,81% - 100%,Yes,Yes,Yes,3.00 – 3.69,3.00 – 3.69,1 – 2 hours,< 1 times,Hybrid,No,Yes,Yes,4 - 5 hours,Intermediate,I dont know,2 - 3 hours,Data science ,No,Yes,No
11/11/2025 15:37:26,Male,23 – 25 years,Malay,FSDK (Faculty of Data Science and Computing),Year 3,Single,Family,"RM5001 - RM8,000",No,81% - 100%,Yes,Yes,Yes,3.00 – 3.69,3.00 – 3.69,5 – 6 hours,4 times,Offline,No,Yes,Yes,2 - 3 hours,Intermediate,Coding,2 - 3 hours,Network administrator ,Yes,Yes,Yes
11/11/2025 15:41:01,Female,21 – 22 years,Malay,"FHPK (Faculty of Hospitality, Tourism and Wellness)",Year 3,Single,Family,"< RM1,500",Yes,41% - 60%,Yes,Yes,Yes,3.00 – 3.69,3.00 – 3.69,5 – 6 hours,4 times,Online,No,Yes,Yes,4 - 5 hours,Basic,communication,2 - 3 hours,-,No,No,No
11/11/2025 15:46:20,Female,21 – 22 years,Malay,FSDK (Faculty of Data Science and Computing),Year 3,Single,Family,"< RM1,500",No,81% - 100%,Yes,Yes,No,3.00 – 3.69,3.00 – 3.69,3 – 4 hours,2 times,Online,Yes,Yes,No,4 - 5 hours,Basic,Problem-solving,4 - 5 hours,Data Science ,Yes,No,No
11/11/2025 15:46:39,Male,19 - 20 years,Malay,FSDK (Faculty of Data Science and Computing),Year 1,Single,In hostel,"> RM12,000",No,81% - 100%,No,No,No,3.70 - 4.00,3.00 – 3.69,3 – 4 hours,3 times,Offline,Yes,Yes,Yes,> 6 hours,Intermediate,Programming and human networking,2 - 3 hours,Data Science,Yes,No,No
11/11/2025 15:50:22,Female,21 – 22 years,Malay,FSDK (Faculty of Data Science and Computing),Year 4,Married,Family,"< RM1,500",No,81% - 100%,No,No,Yes,3.00 – 3.69,3.70 - 4.00,< 1 hour,< 1 times,Hybrid,Yes,Yes,Yes,< 1 hours,Intermediate,Programming,< 1 hours,Artificil Intelligence,No,No,No
11/11/2025 15:50:58,Male,21 – 22 years,Malay,FKP (Faculty of Entrepreneurship and Business),Year 3,Single,Family,"RM3,001 - RM5,000",Yes,81% - 100%,No,No,Yes,3.00 – 3.69,3.00 – 3.69,1 – 2 hours,3 times,Online,No,Yes,Yes,4 - 5 hours,Intermediate,Calculations ,< 1 hours,Teaching ,Yes,No,No
11/11/2025 15:52:03,Female,21 – 22 years,Malay,FSDK (Faculty of Data Science and Computing),Year 4,Single,Family,"RM5001 - RM8,000",Yes,81% - 100%,No,No,No,3.70 - 4.00,3.70 - 4.00,3 – 4 hours,2 times,Hybrid,No,Yes,Yes,> 6 hours,Intermediate,Programming,2 - 3 hours,Data Science,Yes,Yes,No
11/11/2025 15:52:45,Female,19 - 20 years,Malay,FSDK (Faculty of Data Science and Computing),Year 1,Single,In hostel,"< RM1,500",No,81% - 100%,No,No,No,3.70 - 4.00,3.70 - 4.00,< 1 hour,< 1 times,Offline,No,Yes,Yes,2 - 3 hours,Basic,"programming, database, hardware and software",< 1 hours,AI and hardware maintenance,Yes,No,No
11/11/2025 15:59:40,Male,23 – 25 years,Malay,FBKT (Faculty of Bioengineering and Technology),Year 2,Single,In hostel,"RM5001 - RM8,000",No,81% - 100%,No,No,No,3.00 – 3.69,3.00 – 3.69,< 1 hour,< 1 times,Online,Yes,Yes,Yes,> 6 hours,Advanced,Technology,< 1 hours,AI,Yes,No,No
11/11/2025 16:00:49,Female,21 – 22 years,Malay,"FHPK (Faculty of Hospitality, Tourism and Wellness)",Year 2,Single,Family,"RM 1,501 - RM3,000",No,81% - 100%,No,No,No,3.70 - 4.00,3.00 – 3.69,1 – 2 hours,2 times,Offline,No,Yes,Yes,2 - 3 hours,Intermediate,I'm good at solving words searcg in one minute ,4 - 5 hours,english language teaching,Yes,Yes,No
11/11/2025 16:00:57,Male,21 – 22 years,Malay,FSDK (Faculty of Data Science and Computing),Year 1,Single,Family,"RM 1,501 - RM3,000",Yes,81% - 100%,No,No,No,2.50 – 2.99,2.50 – 2.99,1 – 2 hours,2 times,Hybrid,No,Yes,Yes,2 - 3 hours,Intermediate,"Novel writing, programming, ",< 1 hours,AI,Yes,Yes,Yes
11/11/2025 16:06:06,Female,21 – 22 years,Malay,FSDK (Faculty of Data Science and Computing),Year 4,In a relationship,Friends,"RM3,001 - RM5,000",No,81% - 100%,No,No,No,3.00 – 3.69,3.00 – 3.69,< 1 hour,< 1 times,Hybrid,No,Yes,Yes,> 6 hours,Basic,Data analysis,2 - 3 hours,Data science,No,No,No
11/11/2025 16:07:39,Female,23 – 25 years,Malay,"FHPK (Faculty of Hospitality, Tourism and Wellness)",Year 4,Single,In hostel,"> RM12,000",Yes,81% - 100%,No,No,Yes,3.00 – 3.69,3.70 - 4.00,1 – 2 hours,2 times,Offline,Yes,Yes,Yes,4 - 5 hours,Intermediate,leadership ,< 1 hours,ai,Yes,No,No
