Timestamp,Gender,Age (Years),Races,Faculty,Year Of Study,Relationship Status,With whom you are living with?,What is your monthly Family Income?,  Do you have meritorious scholarship ?  ,  Average attendance on class (Percentage )  ,Have you ever had to repeat any courses/subjects?,Did you ever got suspension?  ,Do you attend in teacher consultancy for any kind of academical problems?  ,What was your previous GPA?  ,What was your previous CGPA?  ,How many hour do you study daily? (Hours ),How many times do you seat for study in a day?  ,What is your preferable learning mode?  ,Do you use University transportation?  ,Do you use smart phone?  ,Do you have personal Computer?  ,How many hour do you spent daily in social media? (Hours)  ,Status of your English language proficiency  ,What are the skills do you have ?  ( example : Programming),How many hour do you spent daily on your skill development? (Hours )  ,What is you interested area?  ( example: Artificial Intelligence ),Are you engaged with any co-curriculum activities?  ,Do you have any health issues?  ,Do you have any physical disabilities?  
11/12/2025 18:10:30,Female,19 - 20 years,Chinese,FKP (Faculty of Entrepreneurship and Business),Year 2,In a relationship,Family,"RM5001 - RM8,000",No,81% - 100%,No,No,No,3.70 - 4.00,3.70 - 4.00,> 6 hours,4 times,Online,No,No,No,4 - 5 hours,Basic,Programming,4 - 5 hours,Programming,No,No,No
11/12/2025 21:14:28,Female,23 – 25 years,Malay,"FHPK (Faculty of Hospitality, Tourism and Wellness)",Year 4,Single,In hostel,"RM3,001 - RM5,000",Yes,81% - 100%,No,No,No,3.70 - 4.00,3.00 – 3.69,3 – 4 hours,> 5 times,Offline,No,Yes,Yes,4 - 5 hours,Intermediate,Many skill I have ,4 - 5 hours,Amazing ,Yes,No,No
11/12/2025 21:18:25,Male,23 – 25 years,Malay,FSDK (Faculty of Data Science and Computing),Year 4,Single,Family,"RM 1,501 - RM3,000",No,81% - 100%,No,No,No,3.00 – 3.69,3.00 – 3.69,< 1 hour,< 1 times,Offline,No,Yes,Yes,> 6 hours,Intermediate,Programming,< 1 hours,AI,No,No,No
11/12/2025 23:06:55,Male,21 – 22 years,Malay,FSDK (Faculty of Data Science and Computing),Year 3,Single,Family,"RM8,001 - RM12,000",No,81% - 100%,No,No,No,3.00 – 3.69,3.00 – 3.69,< 1 hour,< 1 times,Hybrid,Yes,Yes,Yes,4 - 5 hours,Basic,Programming,< 1 hours,Cybersecurity,No,No,No
11/13/2025 6:25:41,Female,21 – 22 years,Indian,FAE (Faculty of Architecture and Ekistics),Year 2,Single,Family,"RM 1,501 - RM3,000",Yes,81% - 100%,No,No,No,3.70 - 4.00,3.70 - 4.00,1 – 2 hours,> 5 times,Hybrid,Yes,Yes,Yes,< 1 hours,Basic,"Majority by autocad, sketchup, enscape, twinmotion, revit,",> 6 hours,"Sports (netball, soccer)",Yes,No,No
11/13/2025 12:25:49,Male,26 – 28 years,Malay,"FHPK (Faculty of Hospitality, Tourism and Wellness)",Year 3,Single,Friends,"< RM1,500",No,81% - 100%,No,No,No,3.70 - 4.00,3.70 - 4.00,3 – 4 hours,2 times,Hybrid,No,Yes,Yes,4 - 5 hours,Intermediate,Easy learning ,2 - 3 hours,Easy,Yes,No,No
11/13/2025 12:31:44,Female,21 – 22 years,Malay,FSDK (Faculty of Data Science and Computing),Year 3,Single,Family,"RM5001 - RM8,000",No,81% - 100%,No,No,No,3.00 – 3.69,3.00 – 3.69,3 – 4 hours,3 times,Hybrid,No,Yes,Yes,4 - 5 hours,Intermediate,Mathematics ,4 - 5 hours,Artificial Intelligence,Yes,No,No
11/13/2025 12:36:45,Female,21 – 22 years,Malay,FKP (Faculty of Entrepreneurship and Business),Year 3,Single,Family,"RM8,001 - RM12,000",No,81% - 100%,No,No,Yes,3.00 – 3.69,3.00 – 3.69,1 – 2 hours,2 times,Hybrid,No,Yes,Yes,4 - 5 hours,Intermediate,Cooking ,< 1 hours,Tiktok,No,No,No
11/13/2025 12:36:50,Male,23 – 25 years,Malay,FSDK (Faculty of Data Science and Computing),Year 3,In a relationship,In hostel,"RM3,001 - RM5,000",Yes,81% - 100%,No,No,No,3.00 – 3.69,3.00 – 3.69,3 – 4 hours,2 times,Hybrid,Yes,Yes,Yes,2 - 3 hours,Advanced,IT Networking ,4 - 5 hours,"Networking, Artificial Intelligence",Yes,No,No
11/13/2025 12:44:04,Female,23 – 25 years,Malay,FSDK (Faculty of Data Science and Computing),Year 3,Single,Family,"RM5001 - RM8,000",No,81% - 100%,No,No,No,3.00 – 3.69,3.00 – 3.69,3 – 4 hours,2 times,Offline,Yes,Yes,Yes,4 - 5 hours,Intermediate,Database Management,> 6 hours,UI/UX Design,No,No,No
11/13/2025 12:53:24,Male,19 - 20 years,Malay,FPV (Faculty of Veterinary Medicine),Year 2,Single,Friends,"RM 1,501 - RM3,000",Yes,81% - 100%,No,No,No,3.00 – 3.69,3.00 – 3.69,1 – 2 hours,< 1 times,Offline,No,Yes,No,2 - 3 hours,Advanced,programming,2 - 3 hours,AI,Yes,No,No
11/13/2025 12:54:01,Female,21 – 22 years,Malay,FKP (Faculty of Entrepreneurship and Business),Year 3,Single,Family,"RM 1,501 - RM3,000",No,81% - 100%,No,No,No,3.00 – 3.69,3.00 – 3.69,5 – 6 hours,3 times,Hybrid,No,Yes,Yes,4 - 5 hours,Intermediate,Calculation,2 - 3 hours,Economics,No,No,No
11/13/2025 12:54:32,Male,23 – 25 years,Malay,"FHPK (Faculty of Hospitality, Tourism and Wellness)",Year 3,Single,Friends,"RM5001 - RM8,000",Yes,81% - 100%,No,No,Yes,3.00 – 3.69,3.00 – 3.69,1 – 2 hours,2 times,Offline,No,Yes,Yes,4 - 5 hours,Intermediate,Speech,4 - 5 hours,Public speaking,Yes,No,No
11/13/2025 13:48:47,Female,23 – 25 years,Malay,FSDK (Faculty of Data Science and Computing),Year 3,Single,In hostel,"RM 1,501 - RM3,000",No,81% - 100%,No,No,No,3.00 – 3.69,3.00 – 3.69,1 – 2 hours,< 1 times,Hybrid,Yes,Yes,Yes,4 - 5 hours,Basic,design ,< 1 hours,networking ,Yes,No,Yes
11/13/2025 13:54:17,Female,21 – 22 years,Malay,FSDK (Faculty of Data Science and Computing),Year 3,Single,Friends,"RM3,001 - RM5,000",No,81% - 100%,No,No,Yes,3.00 – 3.69,3.00 – 3.69,1 – 2 hours,2 times,Offline,No,Yes,Yes,4 - 5 hours,Intermediate,Problem solving ,< 1 hours,Graphic design,Yes,No,No
11/13/2025 14:03:03,Female,23 – 25 years,Malay,FPV (Faculty of Veterinary Medicine),Year 2,Single,In hostel,"RM5001 - RM8,000",No,81% - 100%,No,No,Yes,3.00 – 3.69,3.00 – 3.69,3 – 4 hours,2 times,Hybrid,Yes,Yes,Yes,4 - 5 hours,Advanced,Photography ,4 - 5 hours,Dance,Yes,No,No
11/13/2025 14:59:29,Female,23 – 25 years,Malay,"FHPK (Faculty of Hospitality, Tourism and Wellness)",Year 2,Single,Friends,"RM3,001 - RM5,000",No,81% - 100%,No,No,No,3.00 – 3.69,3.70 - 4.00,> 6 hours,3 times,Hybrid,Yes,Yes,Yes,2 - 3 hours,Intermediate,Programming,4 - 5 hours,Data Analytic,Yes,No,No
11/13/2025 19:08:12,Female,21 – 22 years,Malay,FKP (Faculty of Entrepreneurship and Business),Year 3,Single,Family,"RM 1,501 - RM3,000",No,81% - 100%,No,No,Yes,3.00 – 3.69,3.70 - 4.00,1 – 2 hours,< 1 times,Hybrid,No,Yes,Yes,4 - 5 hours,Basic,communication skills,< 1 hours,education and social ,No,No,No
11/13/2025 19:20:10,Male,21 – 22 years,Malay,FKP (Faculty of Entrepreneurship and Business),Year 4,Single,In hostel,"RM5001 - RM8,000",No,61% - 80%,Yes,No,No,2.50 – 2.99,2.50 – 2.99,3 – 4 hours,2 times,Hybrid,No,Yes,Yes,4 - 5 hours,Intermediate,Coding,2 - 3 hours,Information Technology ,No,No,No
11/13/2025 22:50:01,Female,21 – 22 years,Malay,FSDK (Faculty of Data Science and Computing),Year 4,Single,Friends,"RM 1,501 - RM3,000",Yes,81% - 100%,No,No,No,3.00 – 3.69,3.00 – 3.69,3 – 4 hours,3 times,Hybrid,No,Yes,Yes,4 - 5 hours,Intermediate,Multi tasking ,4 - 5 hours,Data Analyst,Yes,Yes,No
11/13/2025 23:44:43,Female,23 – 25 years,Malay,FSDK (Faculty of Data Science and Computing),Year 4,Single,Friends,"> RM12,000",No,81% - 100%,No,Yes,No,3.00 – 3.69,3.00 – 3.69,> 6 hours,4 times,Offline,No,Yes,Yes,> 6 hours,Basic,designing,> 6 hours,math,No,No,No
11/14/2025 11:53:08,Female,23 – 25 years,Malay,FSDK (Faculty of Data Science and Computing),Year 2,Single,Family,"RM8,001 - RM12,000",No,81% - 100%,No,No,No,3.00 – 3.69,3.00 – 3.69,1 – 2 hours,4 times,Offline,No,Yes,Yes,4 - 5 hours,Intermediate, programming ,2 - 3 hours,Big data,No,Yes,No
11/14/2025 12:56:23,Male,23 – 25 years,Malay,FSDK (Faculty of Data Science and Computing),Year 4,Single,Family,"RM8,001 - RM12,000",No,81% - 100%,No,No,No,3.00 – 3.69,3.00 – 3.69,< 1 hour,< 1 times,Hybrid,Yes,Yes,Yes,> 6 hours,Intermediate,Trying my best to contribute in a team work,< 1 hours,Artificial Intelligence,No,Yes,No
11/16/2025 0:52:57,Male,23 – 25 years,Malay,FSDK (Faculty of Data Science and Computing),Year 4,Single,Alone,"RM5001 - RM8,000",Yes,81% - 100%,No,No,No,3.70 - 4.00,3.00 – 3.69,> 6 hours,4 times,Hybrid,No,Yes,Yes,< 1 hours,Intermediate,Cooking while programming ,> 6 hours,ML Development ,Yes,No,No
11/16/2025 1:09:35,Female,21 – 22 years,Malay,FSDK (Faculty of Data Science and Computing),Year 4,Single,Family,"< RM1,500",No,81% - 100%,No,No,Yes,3.70 - 4.00,3.00 – 3.69,5 – 6 hours,4 times,Hybrid,Yes,Yes,Yes,> 6 hours,Intermediate,No,4 - 5 hours,Ai,Yes,No,No
11/16/2025 10:22:08,Female,19 - 20 years,Malay,FSDK (Faculty of Data Science and Computing),Year 1,Single,In hostel,"> RM12,000",No,81% - 100%,No,No,Yes,3.70 - 4.00,3.70 - 4.00,3 – 4 hours,4 times,Offline,No,Yes,Yes,4 - 5 hours,Intermediate,Drawing ,2 - 3 hours,Graphics ,No,No,No
11/16/2025 13:18:00,Female,21 – 22 years,Malay,FSDK (Faculty of Data Science and Computing),Year 2,In a relationship,Family,"RM3,001 - RM5,000",No,81% - 100%,No,No,No,3.70 - 4.00,3.70 - 4.00,5 – 6 hours,> 5 times,Offline,No,Yes,Yes,> 6 hours,Basic,Programming,2 - 3 hours,Networking,Yes,No,No
11/16/2025 14:16:51,Female,19 - 20 years,Malay,FSB (Faculty of Earth Sciences),Year 1,Single,In hostel,"RM 1,501 - RM3,000",No,81% - 100%,No,No,No,3.00 – 3.69,3.00 – 3.69,1 – 2 hours,2 times,Hybrid,Yes,Yes,Yes,> 6 hours,Intermediate,"Video editing, sign language ",< 1 hours,"Communication, videography",Yes,No,No
11/16/2025 19:45:14,Female,21 – 22 years,Malay,FKP (Faculty of Entrepreneurship and Business),Year 3,Single,Family,"RM 1,501 - RM3,000",No,81% - 100%,No,No,No,3.00 – 3.69,3.00 – 3.69,3 – 4 hours,3 times,Hybrid,Yes,Yes,Yes,4 - 5 hours,Intermediate,designer,2 - 3 hours,-,No,No,No
11/19/2025 13:10:01,Female,21 – 22 years,Bidayuh,FSDK (Faculty of Data Science and Computing),Year 3,Single,Friends,"RM5001 - RM8,000",No,61% - 80%,No,No,Yes,3.00 – 3.69,3.00 – 3.69,3 – 4 hours,3 times,Hybrid,No,Yes,Yes,4 - 5 hours,Intermediate,Coding ,< 1 hours,Data Science,No,No,No
11/25/2025 1:39:11,Female,23 – 25 years,Malay,FSDK (Faculty of Data Science and Computing),Year 3,Single,Friends,"RM8,001 - RM12,000",No,81% - 100%,No,No,No,3.00 – 3.69,3.00 – 3.69,5 – 6 hours,4 times,Offline,No,Yes,Yes,> 6 hours,Intermediate,"Programming, Designing",< 1 hours,Information System,Yes,Yes,No
11/27/2025 12:27:42,Female,21 – 22 years,Malay,FSDK (Faculty of Data Science and Computing),Year 4,Single,Family,"RM3,001 - RM5,000",No,81% - 100%,No,No,No,3.00 – 3.69,3.00 – 3.69,3 – 4 hours,3 times,Offline,No,Yes,Yes,4 - 5 hours,Intermediate,Programming ,4 - 5 hours,Data Science ,No,No,No
